An asterisk at the end indicates a puzzle that takes at least 30 seconds to solve on the school lab computers.

format:
number_of_moves max_tree_depth states_investigated






0 0 0
6 5 9330
7 6 4369
10 9 2014
8 7 2101
23 22 31
11 10 2270
8 7 686
20 19 1130
13 12 5500
14 13 6911
11 10 10640
16 15 1706
13 12 3702
21 20 1009867 *
20 19 33598
17 16 11679
22 21 101786
25 24 30688
24 23 10906
26 25 10875
20 19 50468
16 15 9476
22 21 4637
28 27 247837
33 32 89534
24 23 448476 *
46 45 7078
25 24 2543
28 27 64861
27 26 1730
16 15 9126
32 31 40549
27 26 6021
35 34 9280
33 32 1549360 *
37 36 281141
41 40 2221301 *
40 39 201992
49 48 36649
58 57 192440
85 84 60084
